hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
26,17,0,0,Private,9th,5,Never-married,Own-child,Black,Male,United-States,2515,Other-service
40,47,0,1977,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,99999,Craft-repair
42,48,0,0,Private,Assoc-acdm,12,Divorced,Unmarried,White,Female,United-States,18045,Exec-managerial
40,25,0,0,State-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,22412,Protective-serv
40,45,0,0,State-gov,Some-college,10,Never-married,Not-in-family,White,Female,United-States,30100,Adm-clerical
35,48,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,65876,Tech-support
55,40,0,0,Private,Bachelors,13,Divorced,Not-in-family,White,Male,United-States,74177,Exec-managerial
35,44,0,1887,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,69342,Prof-specialty
40,38,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,19090,Other-service
40,36,0,1977,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,98173,Prof-specialty
55,52,0,1740,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,46233,Transport-moving
44,41,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,42700,Craft-repair
40,34,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,14000,Handlers-cleaners
40,27,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,29025,Tech-support
45,41,0,0,Private,Bachelors,13,Divorced,Unmarried,White,Female,United-States,36600,Exec-managerial
45,41,0,1848,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,53511,Sales
50,22,0,0,Private,Some-college,10,Never-married,Unmarried,White,Female,United-States,25000,Other-service
40,50,7688,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,85486,Craft-repair
24,20,0,0,Federal-gov,Some-college,10,Never-married,Own-child,White,Female,United-States,6075,Tech-support
40,46,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,45054,Exec-managerial
30,23,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,8700,Adm-clerical
75,41,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,90113,Tech-support
52,55,5013,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,46213,Craft-repair
74,59,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,57000,Transport-moving
37,36,0,0,Private,Assoc-acdm,12,Divorced,Unmarried,White,Female,United-States,11900,Other-service
